COMPANY NAME,SECURITY TYPE,ISSUE PRICE,Symbol,ISSUE START DATE,ISSUE END DATE,PRICE RANGE,DATE OF LISTING
Schloss Bangalore Limited,EQ,435,THELEELA,26-MAY-2025,28-MAY-2025,Rs.413 to Rs.435,02-JUN-2025
Aegis Vopak Terminals Limited,EQ,235,AEGISVOPAK,26-MAY-2025,28-MAY-2025,Rs.223 to Rs.235,02-JUN-2025
Belrise Industries Limited,EQ,90,BELRISE,21-MAY-2025,23-MAY-2025,Rs.85 to Rs.90,28-MAY-2025
Ather Energy Limited,EQ,321,ATHERENERG,28-APR-2025,30-APR-2025,Rs.304 to Rs.321,06-MAY-2025
Quality Power Electrical Equipments Limited,EQ,425,QPOWER,14-FEB-2025,18-FEB-2025,Rs.401 to Rs.425,24-FEB-2025
Hexaware Technologies Limited,EQ,708,HEXT,12-FEB-2025,14-FEB-2025,Rs.674 to Rs.708,19-FEB-2025
Ajax Engineering Limited,EQ,629,AJAXENGG,10-FEB-2025,12-FEB-2025,Rs.599 to Rs.629,17-FEB-2025
Dr. Agarwal's Health Care Limited,EQ,402,AGARWALEYE,29-JAN-2025,31-JAN-2025,Rs.382 to Rs.402,04-FEB-2025
Laxmi Dental Limited,EQ,428,LAXMIDENTL,13-JAN-2025,15-JAN-2025,Rs.407 to Rs.428,20-JAN-2025
Quadrant Future Tek Limited,EQ,290,QUADFUTURE,07-JAN-2025,09-JAN-2025,Rs.275 to Rs.290,14-JAN-2025
Senores Pharmaceuticals Limited,EQ,391,SENORES,20-DEC-2024,24-DEC-2024,Rs.372 to Rs.391,30-DEC-2024
Ventive Hospitality Limited,EQ,643,VENTIVE,20-DEC-2024,24-DEC-2024,Rs.610 to Rs.643,30-DEC-2024
Sanathan Textiles Limited,EQ,321,SANATHAN,19-DEC-2024,23-DEC-2024,Rs.305 to Rs.321,27-DEC-2024
Concord Enviro Systems Limited,EQ,701,CEWATER,19-DEC-2024,23-DEC-2024,Rs.665 to Rs.701,27-DEC-2024
One MobiKwik Systems Limited,EQ,279,MOBIKWIK,11-DEC-2024,13-DEC-2024,Rs.265 to Rs.279,18-DEC-2024
Sai Life Sciences Limited,EQ,549,SAILIFE,11-DEC-2024,13-DEC-2024,Rs.522 to Rs.549,18-DEC-2024
Vishal Mega Mart Limited,EQ,78,VMM,11-DEC-2024,13-DEC-2024,Rs.74 to Rs.78,18-DEC-2024
Suraksha Diagnostic Limited,EQ,441,SURAKSHA,29-NOV-2024,03-DEC-2024,Rs.420 to Rs.441,06-DEC-2024
Niva Bupa Health Insurance Company Limited,EQ,74,NIVABUPA,07-NOV-2024,11-NOV-2024,Rs.70 to Rs.74,14-NOV-2024
Swiggy Limited,EQ,390,SWIGGY,06-NOV-2024,08-NOV-2024,Rs.371 to Rs.390,13-NOV-2024
ACME Solar Holdings Limited,EQ,289,ACMESOLAR,06-NOV-2024,08-NOV-2024,Rs.275 to Rs.289,13-NOV-2024
Sagility India Limited,EQ,30,SAGILITY,05-NOV-2024,07-NOV-2024,Rs.28 to Rs.30,12-NOV-2024
Afcons Infrastructure Limited,EQ,463,AFCONS,25-OCT-2024,29-OCT-2024,Rs.440 to Rs.463,04-NOV-2024
Northern Arc Capital Limited,EQ,263,NORTHARC,16-SEP-2024,19-SEP-2024,Rs.249 to Rs.263,24-SEP-2024
Arkade Developers Limited,EQ,128,ARKADE,16-SEP-2024,19-SEP-2024,Rs.121 to Rs.128,24-SEP-2024
Western Carriers (India) Limited,EQ,172,WCIL,13-SEP-2024,19-SEP-2024,Rs.163 to Rs.172,24-SEP-2024
P N Gadgil Jewellers Limited,EQ,480,PNGJL,10-SEP-2024,12-SEP-2024,Rs.456 to Rs.480,17-SEP-2024
Baazar Style Retail Limited,EQ,389,STYLEBAAZA,30-AUG-2024,03-SEP-2024,Rs.370 to Rs.389,06-SEP-2024
Ecos (India) Mobility & Hospitality Limited,EQ,334,ECOSMOBLTY,28-AUG-2024,30-AUG-2024,Rs.318 to Rs.334,04-SEP-2024
Premier Energies Limited,EQ,450,PREMIERENE,27-AUG-2024,29-AUG-2024,Rs.427 to Rs.450,03-SEP-2024
Brainbees Solutions Limited,EQ,465,FIRSTCRY,06-AUG-2024,08-AUG-2024,Rs.440 to Rs.465,13-AUG-2024
Unicommerce eSolutions Limited,EQ,108,UNIECOM,06-AUG-2024,08-AUG-2024,Rs.102 to Rs.108,13-AUG-2024
Ola Electric Mobility Limited,EQ,76,OLAELEC,02-AUG-2024,06-AUG-2024,Rs.72 to Rs.76,09-AUG-2024
Ceigall India Limited,EQ,401,CEIGALL,01-AUG-2024,05-AUG-2024,Rs.380 to Rs.401,08-AUG-2024
Akums Drugs and Pharmaceuticals Limited,EQ,679,AKUMS,30-JUL-2024,01-AUG-2024,Rs.646 to Rs.679,06-AUG-2024
Sanstar Limited,EQ,95,SANSTAR,19-JUL-2024,23-JUL-2024,Rs.90 to Rs.95,26-JUL-2024
Bansal Wire Industries Limited,EQ,256,BANSALWIRE,03-JUL-2024,05-JUL-2024,Rs.243 to Rs.256,10-JUL-2024
Emcure Pharmaceuticals Limited,EQ,1008,EMCURE,03-JUL-2024,05-JUL-2024,Rs.960 to Rs.1008,10-JUL-2024
Allied Blenders and Distillers Limited,EQ,281,ABDL,25-JUN-2024,27-JUN-2024,Rs.267 to Rs.281,02-JUL-2024
Stanley Lifestyles Limited,EQ,369,STANLEY,21-JUN-2024,25-JUN-2024,Rs.351 to Rs.369,28-JUN-2024
DEE Development Engineers Limited,EQ,203,DEEDEV,19-JUN-2024,21-JUN-2024,Rs.193 to Rs.203,26-JUN-2024